profil_kod;profil_nazwa;sezon_harmonogram;sezon_ceny;udzial_strefy_nocnej_pct;koszt_G11_pln;koszt_G12_pln;koszt_RDN_pln;roznica_RDN_vs_G11_pct;roznica_RDN_vs_G12_pct;VaR95_RDN_pln;CVaR95_RDN_pln;dni_pokryte;diagonal
B;Pracownik zdalny;Wiosna;Lato;30,66;529,37;507,38;547,14;-3,36;-7,84;20,38;20,72;30;False
B;Pracownik zdalny;Wiosna;Jesien;33,14;529,37;499,76;555,1;-4,86;-11,07;21,73;22,63;30;False
B;Pracownik zdalny;Zima;Zima;32,6;1407,53;1333,16;1569,08;-11,48;-17,7;61,75;68,04;30;True
B;Pracownik zdalny;Zima;Wiosna;26,73;1407,53;1381,17;1439,34;-2,26;-4,21;55,04;56,19;30;False
B;Pracownik zdalny;Zima;Lato;26,73;1407,53;1381,17;1563,22;-11,06;-13,18;59,95;61,42;30;False
B;Pracownik zdalny;Zima;Jesien;32,6;1407,53;1333,16;1540,28;-9,43;-15,54;60,92;63,62;30;False
C;Rodzina 2+2;Jesien;Zima;24,39;1065,17;1059,68;1200,25;-12,68;-13,27;47,67;52,85;30;False
C;Rodzina 2+2;Jesien;Wiosna;26,1;1065,17;1049,07;1135,33;-6,59;-8,22;43,39;44,26;30;False
C;Rodzina 2+2;Jesien;Lato;26,1;1065,17;1049,07;1211,15;-13,71;-15,45;47,35;48,5;30;False
C;Rodzina 2+2;Jesien;Jesien;24,39;1065,17;1059,68;1208,28;-13,44;-14,02;49,75;52,67;30;True
C;Rodzina 2+2;Lato;Zima;32,61;1282,52;1214,74;1432,2;-11,67;-17,9;56,84;63,01;30;False
C;Rodzina 2+2;Lato;Wiosna;33,41;1282,52;1208,78;1306,29;-1,85;-8,07;49,96;50,72;30;False
C;Rodzina 2+2;Lato;Lato;33,41;1282,52;1208,78;1406,93;-9,7;-16,39;53,57;54,04;30;True
C;Rodzina 2+2;Lato;Jesien;32,61;1282,52;1214,74;1417,68;-10,54;-16,71;57,08;59,95;30;False
C;Rodzina 2+2;Wiosna;Zima;27,77;921,93;899,07;1034,66;-12,23;-15,08;41,14;45,57;30;False
C;Rodzina 2+2;Wiosna;Wiosna;29,35;921,93;890,63;959,6;-4,09;-7,74;36,64;37,24;30;True
C;Rodzina 2+2;Wiosna;Lato;29,35;921,93;890,63;1025,01;-11,18;-15,09;39,36;39,93;30;False
C;Rodzina 2+2;Wiosna;Jesien;27,77;921,93;899,07;1031,67;-11,9;-14,75;42,05;44,12;30;False
C;Rodzina 2+2;Zima;Zima;27,03;1785,05;1748,45;2004,73;-12,31;-14,66;79,42;87,41;30;True
C;Rodzina 2+2;Zima;Wiosna;28,11;1785,05;1737,33;1920,82;-7,61;-10,56;72,58;74,1;30;False
C;Rodzina 2+2;Zima;Lato;28,11;1785,05;1737,33;2043,56;-14,48;-17,63;80,04;82,13;30;False
C;Rodzina 2+2;Zima;Jesien;27,03;1785,05;1748,45;2018,79;-13,09;-15,46;81,96;86,54;30;False
D;Senior samotny;Jesien;Zima;20,39;605,94;616,88;675,6;-11,5;-9,52;26,6;29,74;30;False
D;Senior samotny;Jesien;Wiosna;21,82;605,94;611,84;594,7;1,86;2,8;23,29;23,8;30;False
D;Senior samotny;Jesien;Lato;21,82;605,94;611,84;652,64;-7,71;-6,67;24,91;25,08;30;False
D;Senior samotny;Jesien;Jesien;20,39;605,94;616,88;653,3;-7,81;-5,9;26,22;27,4;30;True
D;Senior samotny;Lato;Zima;33,36;747,21;704,44;825,02;-10,41;-17,12;32,48;36,24;30;False
D;Senior samotny;Lato;Wiosna;34,69;747,21;698,66;700,27;6,28;-0,23;27,42;27,82;30;False
D;Senior samotny;Lato;Lato;34,69;747,21;698,66;775,53;-3,79;-11,0;28,2;28,81;30;True
D;Senior samotny;Lato;Jesien;33,36;747,21;704,44;786,19;-5,22;-11,6;30,74;32,14;30;False
D;Senior samotny;Wiosna;Zima;20,44;401,24;408,37;445,54;-11,04;-9,1;17,51;19,73;30;False
D;Senior samotny;Wiosna;Wiosna;22,3;401,24;404,05;362,77;9,59;10,22;14,71;14,92;30;True
D;Senior samotny;Wiosna;Lato;22,3;401,24;404,05;404,78;-0,88;-0,18;14,92;15,28;30;False
D;Senior samotny;Wiosna;Jesien;20,44;401,24;408,37;417,95;-4,16;-2,34;16,73;17,31;30;False
D;Senior samotny;Zima;Zima;25,53;1238,46;1223,9;1385,77;-11,89;-13,23;54,68;60,15;30;True
D;Senior samotny;Zima;Wiosna;26,14;1238,46;1219,47;1294,37;-4,51;-6,14;49,01;50,04;30;False
D;Senior samotny;Zima;Lato;26,14;1238,46;1219,47;1386,03;-11,92;-13,66;53,27;54,41;30;False
D;Senior samotny;Zima;Jesien;25,53;1238,46;1223,9;1370,3;-10,64;-11,96;54,78;57,17;30;False
E;Studenci;Jesien;Zima;43,35;752,34;665,64;820,5;-9,06;-23,26;32,17;35,02;30;False
E;Studenci;Jesien;Wiosna;42,17;752,34;670,82;783,25;-4,11;-16,76;29,34;30,02;30;False
E;Studenci;Jesien;Lato;42,17;752,34;670,82;846,34;-12,49;-26,16;32,62;33,68;30;False
E;Studenci;Jesien;Jesien;43,35;752,34;665,64;811,79;-7,9;-21,96;31,94;33,55;30;True
E;Studenci;Lato;Zima;51,34;915,09;767,2;990,03;-8,19;-29,04;38,83;42,31;30;False
E;Studenci;Lato;Wiosna;50,67;915,09;770,79;906,4;0,95;-17,59;34,01;34,78;30;False
E;Studenci;Lato;Lato;50,67;915,09;770,79;987,5;-7,91;-28,12;36,65;37,3;30;True
E;Studenci;Lato;Jesien;51,34;915,09;767,2;962,59;-5,19;-25,47;37,09;38,68;30;False
E;Studenci;Wiosna;Zima;52,32;534,15;444,8;573,71;-7,41;-28,98;22,44;24,28;30;False
E;Studenci;Wiosna;Wiosna;50,59;534,15;450,15;531,04;0,58;-17,97;19,79;20,28;30;True
E;Studenci;Wiosna;Lato;50,59;534,15;450,15;576,25;-7,88;-28,01;21,25;21,65;30;False
E;Studenci;Wiosna;Jesien;52,32;534,15;444,8;557,64;-4,4;-25,37;21,51;22,39;30;False
E;Studenci;Zima;Zima;36,75;1387,1;1280,46;1529,08;-10,24;-19,42;60,09;65,35;30;True
E;Studenci;Zima;Wiosna;36,69;1387,1;1280,89;1470,94;-6,04;-14,84;54,78;56,02;30;False
E;Studenci;Zima;Lato;36,69;1387,1;1280,89;1577,31;-13,71;-23,14;60,76;63,1;30;False
E;Studenci;Zima;Jesien;36,75;1387,1;1280,46;1522,29;-9,75;-18,89;59,91;62,79;30;False
F;Para bez dzieci;Jesien;Zima;25,58;866,95;856,48;965,67;-11,39;-12,75;38,05;41,85;30;False
F;Para bez dzieci;Jesien;Wiosna;25,29;866,95;857,92;949,39;-9,51;-10,66;36,51;37,56;30;False
F;Para bez dzieci;Jesien;Lato;25,29;866,95;857,92;1020,8;-17,75;-18,98;41,75;43,4;30;False
F;Para bez dzieci;Jesien;Jesien;25,58;866,95;856,48;969,77;-11,86;-13,23;39,55;41,83;30;True
F;Para bez dzieci;Lato;Zima;34,91;942,89;880,44;1041,67;-10,48;-18,31;41,04;45,15;30;False
F;Para bez dzieci;Lato;Wiosna;34,67;942,89;881,74;983,52;-4,31;-11,54;37,86;38,72;30;False
F;Para bez dzieci;Lato;Lato;34,67;942,89;881,74;1066,87;-13,15;-21,0;42,16;43,36;30;True
F;Para bez dzieci;Lato;Jesien;34,91;942,89;880,44;1028,71;-9,1;-16,84;40,99;43,06;30;False
F;Para bez dzieci;Wiosna;Zima;28,29;579,16;563,07;641,34;-10,74;-13,9;25,23;27,63;30;False
F;Para bez dzieci;Wiosna;Wiosna;27,95;579,16;564,19;631,63;-9,06;-11,95;24,34;25,01;30;True
F;Para bez dzieci;Wiosna;Lato;27,95;579,16;564,19;679,27;-17,29;-20,4;27,76;28,84;30;False
F;Para bez dzieci;Wiosna;Jesien;28,29;579,16;563,07;640,44;-10,58;-13,74;25,91;27,27;30;False
F;Para bez dzieci;Zima;Zima;29,39;1551,12;1498,06;1720,98;-10,95;-14,88;67,74;73,58;30;True
F;Para bez dzieci;Zima;Wiosna;29,3;1551,12;1498,94;1684,15;-8,58;-12,36;63,21;64,74;30;False
F;Para bez dzieci;Zima;Lato;29,3;1551,12;1498,94;1797,74;-15,9;-19,93;70,78;73,79;30;False
F;Para bez dzieci;Zima;Jesien;29,39;1551,12;1498,06;1723,12;-11,09;-15,02;68,75;71,91;30;False
